loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose
23000.0,60.0,15.41,552.14,3,2.0,1,11.350418300109132,2
12000.0,60.0,9.17,250.1,1,9.0,1,11.373674891823535,1
32000.0,60.0,17.86,810.16,3,10.0,1,11.472113887062386,2
10000.0,36.0,9.8,321.74,1,3.0,3,10.714439990727769,1
25000.0,36.0,7.89,782.15,0,4.0,1,11.225256725762893,2
10775.0,60.0,12.59,242.91,2,1.0,3,10.043292972227004,1
21275.0,60.0,18.2,542.57,4,10.0,1,11.156264806643742,2
19025.0,36.0,16.55,674.05,3,9.0,3,11.002116507732017,2
14000.0,60.0,10.78,302.87,1,10.0,1,11.127277689932466,2
6375.0,36.0,15.41,222.28,3,10.0,1,10.819798284210286,2
18000.0,60.0,13.44,413.63,2,3.0,3,10.915106645867501,2
20000.0,36.0,13.44,621.16,2,10.0,3,11.002116507732017,2
24000.0,60.0,13.67,554.35,2,6.0,3,11.599112335481124,2
5000.0,36.0,10.64,162.85,1,10.0,3,11.034905792929415,1
8400.0,36.0,13.67,285.75,2,2.0,3,11.112462823634855,6
13000.0,60.0,17.57,327.09,3,10.0,1,11.184435286790631,2
10075.0,60.0,18.99,261.3,4,3.0,1,11.225256725762893,2
7200.0,36.0,9.76,231.52,1,10.0,3,10.645448706505872,1
1400.0,36.0,9.76,45.02,1,10.0,1,11.326607934898927,5
4825.0,36.0,15.41,168.24,3,,1,9.867342105899775,2
2500.0,36.0,9.76,80.39,1,10.0,1,10.819798284210286,5
25000.0,36.0,13.18,844.52,2,3.0,1,11.652696102959753,2
5000.0,36.0,9.17,159.4,1,10.0,3,10.859018228147885,1
15000.0,36.0,14.48,516.17,2,10.0,1,11.326607934898927,1
12000.0,60.0,13.18,274.15,2,0.0,1,11.407576060361786,3
32000.0,36.0,10.64,1042.2,1,0.0,1,11.350418300109132,1
24000.0,36.0,7.26,743.91,0,10.0,1,11.407576060361786,2
20000.0,36.0,9.76,643.1,1,10.0,2,11.350418300109132,2
11000.0,36.0,5.32,331.27,0,10.0,1,11.849404844423074,3
5625.0,36.0,17.57,202.15,3,10.0,1,11.51293546492023,10
5000.0,36.0,13.67,170.09,2,10.0,1,10.736418414365374,8
15000.0,60.0,17.57,377.41,3,10.0,2,10.896757843893464,2
8000.0,36.0,11.49,263.78,1,4.0,1,10.308985993422082,2
30425.0,60.0,19.89,804.22,4,9.0,1,11.144785042922217,1
20000.0,36.0,6.89,616.54,0,7.0,1,11.082157933374816,2
8500.0,36.0,7.89,265.93,0,8.0,1,11.962298999663162,2
14400.0,36.0,7.89,450.52,0,4.0,1,11.034905792929415,1
28800.0,36.0,6.24,879.29,0,0.0,2,11.289794413577894,2
6000.0,36.0,11.22,197.06,1,5.0,3,11.156264806643742,1
24000.0,36.0,5.32,722.76,0,10.0,2,11.082157933374816,1
19200.0,36.0,15.41,669.44,3,10.0,1,12.013706813470412,3
14000.0,36.0,9.76,450.17,1,1.0,2,10.790164080634101,2
22000.0,36.0,5.32,662.53,0,10.0,1,11.225256725762893,2
32000.0,60.0,19.99,847.63,4,10.0,3,11.385103457032141,10
15000.0,60.0,14.48,352.77,2,7.0,1,10.736418414365374,2
17000.0,60.0,13.18,388.38,2,1.0,3,11.156264806643742,2
17000.0,36.0,10.64,553.67,1,3.0,3,10.859018228147885,1
4000.0,36.0,13.67,136.08,2,0.0,3,10.373522431293592,7
7500.0,36.0,11.49,247.29,1,10.0,3,10.203629181337648,2
4500.0,36.0,11.99,149.45,2,5.0,3,10.859018228147885,2
12000.0,36.0,12.05,398.86,2,10.0,1,11.289794413577894,2
18000.0,36.0,16.55,637.73,3,6.0,1,11.608244735642321,2
9000.0,36.0,7.89,281.58,0,0.0,1,11.461642696843066,2
21000.0,60.0,14.48,493.88,2,,2,11.451060699493427,3
9000.0,36.0,6.24,274.78,0,0.0,1,11.695255355062795,1
3500.0,36.0,10.64,113.99,1,0.0,3,10.428245666832275,2
7000.0,36.0,8.38,220.59,1,7.0,1,11.156264806643742,2
6000.0,36.0,11.99,199.26,2,3.0,1,10.596659732783579,2
30000.0,60.0,17.57,754.81,3,,1,11.172868811997306,2
12000.0,60.0,13.67,277.18,2,5.0,1,10.596659732783579,2
25000.0,36.0,7.89,782.15,0,3.0,3,11.608244735642321,1
23625.0,60.0,18.99,612.72,4,4.0,3,11.631520615216715,2
12000.0,36.0,10.64,390.83,1,1.0,3,11.532737896139919,2
5200.0,36.0,10.78,169.71,1,7.0,1,11.982935344196433,2
7200.0,36.0,13.18,243.23,2,10.0,1,10.714439990727769,2
23000.0,36.0,10.64,749.08,1,3.0,1,11.14708002888221,2
24000.0,60.0,17.57,603.85,3,10.0,3,10.77897712300635,2
16000.0,36.0,11.48,527.47,1,2.0,2,12.345838935721968,2
25000.0,36.0,11.22,821.08,1,2.0,1,11.002116507732017,1
16000.0,36.0,17.57,575.0,3,10.0,1,10.596659732783579,1
13000.0,36.0,6.24,396.91,0,4.0,2,10.463131911491967,1
20000.0,60.0,12.05,445.4,2,2.0,1,11.461642696843066,2
35000.0,60.0,15.41,840.2,3,0.0,3,12.301387370778713,2
21150.0,60.0,13.67,488.52,2,7.0,3,11.951186847493474,2
1000.0,36.0,17.86,36.09,3,4.0,3,9.169622538697624,8
30000.0,60.0,12.59,676.32,2,10.0,1,11.864996828675356,2
17000.0,60.0,7.89,343.81,0,10.0,1,10.968215530759235,2
7500.0,36.0,8.38,236.34,1,3.0,3,10.736418414365374,2
17600.0,60.0,17.86,445.59,3,9.0,1,11.19135563385109,2
8400.0,36.0,12.59,281.38,2,10.0,1,10.491301994830229,2
20000.0,36.0,11.99,664.2,2,10.0,1,11.002116507732017,2
20000.0,36.0,6.24,610.62,0,0.0,1,11.407576060361786,1
15000.0,36.0,7.89,469.29,0,0.0,1,11.156264806643742,3
12000.0,60.0,13.67,277.18,2,0.0,1,11.407576060361786,1
6000.0,36.0,9.17,191.28,1,2.0,3,10.839600519357369,2
27900.0,60.0,15.41,669.76,3,1.0,3,11.309596795779068,1
19175.0,36.0,7.89,599.91,0,10.0,1,11.225256725762893,2
20000.0,36.0,16.55,708.59,3,0.0,3,11.407576060361786,2
20000.0,36.0,10.99,654.68,1,2.0,1,11.289794413577894,3
6750.0,36.0,9.99,217.78,1,1.0,1,10.12667110305036,2
33600.0,36.0,13.18,1135.04,2,10.0,1,11.156264806643742,2
10000.0,36.0,10.64,325.69,1,0.0,2,10.819798284210286,2
8000.0,36.0,8.49,252.51,1,3.0,1,10.77897712300635,1
15000.0,36.0,5.32,451.73,0,0.0,3,11.225256725762893,1
13650.0,60.0,15.41,327.68,3,10.0,1,11.813037464800539,2
20000.0,60.0,13.18,456.91,2,10.0,1,11.289794413577894,2
6000.0,36.0,11.49,197.83,1,0.0,3,10.12667110305036,1
25000.0,60.0,9.17,521.03,1,10.0,1,11.736077016252437,2
24000.0,60.0,17.57,603.85,3,0.0,3,11.156264806643742,1
12000.0,60.0,13.44,275.75,2,10.0,1,10.896757843893464,2
12000.0,36.0,7.49,373.22,0,10.0,1,11.344991902770953,2
25500.0,36.0,7.26,790.41,0,10.0,3,11.695255355062795,2
24000.0,36.0,7.49,746.44,0,10.0,1,12.206077645517674,2
5000.0,36.0,5.32,150.58,0,,1,10.985309671896763,8
14400.0,36.0,7.89,450.52,0,10.0,1,10.736418414365374,2
21000.0,36.0,9.17,669.46,1,6.0,1,11.652696102959753,2
16000.0,60.0,15.41,384.1,3,5.0,1,11.002116507732017,2
34000.0,60.0,13.18,776.75,2,2.0,1,11.461642696843066,2
6000.0,36.0,6.89,184.97,0,2.0,3,10.819798284210286,1
15000.0,36.0,12.59,502.46,2,5.0,1,11.440365524765754,8
27275.0,36.0,16.99,972.3,3,10.0,1,11.034905792929415,1
20000.0,36.0,9.76,643.1,1,2.0,1,11.49273296168228,2
15600.0,60.0,16.55,383.94,3,3.0,3,10.596659732783579,1
32000.0,36.0,17.86,1154.64,3,0.0,2,11.593094318533192,1
16000.0,36.0,11.22,525.49,1,0.0,1,11.918397239722838,2
12500.0,60.0,13.67,288.72,2,10.0,1,11.06665398721974,2
10000.0,36.0,15.41,348.67,3,0.0,1,11.43605521971203,3
20000.0,60.0,14.85,474.23,2,0.0,1,11.951186847493474,5
19325.0,60.0,16.55,475.62,3,10.0,3,11.156264806643742,1
3000.0,36.0,12.05,99.72,2,0.0,3,10.00247278922055,2
6000.0,36.0,14.48,206.47,2,,3,10.463131911491967,2
12000.0,60.0,10.64,258.76,1,0.0,1,10.968215530759235,2
